Time,Pressure,Flow Rate (ml/s),Force 1,Force 2,Force 3,Force 4,Force 5,Force 6,Force 7,Force 8,Flow Meter Time
15:33:22..664,35.80739676,0.378416,-0.00104588,0.00052935,0.00058255,0.00035785,0.00109916,0.00025795,-0.00030652,0.00034696,15:33:22..664
15:33:22..698,35.84359719,0.378416,-0.00104613,0.00052977,0.00058265,0.00035807,0.00109916,0.00025747,-0.00030665,0.00034724,15:33:22..664
15:33:22..732,35.67810951,0.378429,-0.00104594,0.0005297,0.00058311,0.00035806,0.00109895,0.00025828,-0.00030672,0.00034684,15:33:22..803
15:33:22..853,35.69879547,0.378429,-0.00104571,0.00052985,0.00058248,0.00035807,0.00109915,0.00025858,-0.0003071,0.00034717,15:33:22..851
15:33:22..884,35.75051037,0.378429,-0.00104552,0.0005298,0.00058257,0.00035836,0.00109903,0.00025796,-0.00030671,0.00034668,15:33:22..851
15:33:22..918,35.72982441,0.37865,-0.00104597,0.0005298,0.00058285,0.00035796,0.00109861,0.00025801,-0.00030681,0.00034708,15:33:22..963
15:33:23..046,35.79705378,0.37865,-0.00104595,0.00052989,0.00058214,0.00035769,0.00109888,0.00025793,-0.00030674,0.00034723,15:33:23..045
15:33:23..079,35.65742355,0.378503,-0.00104616,0.00052953,0.00058256,0.00035849,0.00109887,0.0002581,-0.00030678,0.00034733,15:33:23..089
15:33:23..204,35.75568186,0.378503,-0.00104562,0.00052949,0.00058289,0.00035758,0.00109891,0.00025806,-0.00030675,0.00034679,15:33:23..202
15:33:23..236,35.84359719,0.378244,-0.00104588,0.00052993,0.00058256,0.00035888,0.00109881,0.0002583,-0.00030672,0.00034701,15:33:23..247
15:33:23..298,35.79705378,0.378169,-0.00104535,0.00053011,0.000583,0.00035855,0.00109853,0.00025819,-0.00030667,0.00034745,15:33:23..342
15:33:23..372,35.56950822,0.37807,-0.00104591,0.00053013,0.00058332,0.00035824,0.00109813,0.00025802,-0.00030665,0.00034685,15:33:23..384
15:33:23..405,35.88496911,0.37807,-0.00104603,0.00052959,0.00058296,0.000358,0.00109836,0.00025818,-0.00030632,0.00034711,15:33:23..384
15:33:23..441,35.98839891,0.377927,-0.00104587,0.00052965,0.00058264,0.00035829,0.00109775,0.00025755,-0.00030641,0.00034633,15:33:23..479
15:33:23..527,35.85911166,0.377927,-0.00104565,0.00052993,0.00058331,0.00035819,0.00109755,0.00025807,-0.00030654,0.00034641,15:33:23..479
15:33:23..561,35.68845249,0.377962,-0.00104573,0.00052982,0.00058283,0.00035788,0.0010984,0.00025849,-0.00030617,0.00034753,15:33:23..529
15:33:23..634,35.77636782,0.377962,-0.00104592,0.00052937,0.00058342,0.00035813,0.00109821,0.00025826,-0.00030679,0.00034709,15:33:23..666
15:33:23..674,35.64708057,0.377962,-0.00104583,0.00052943,0.00058287,0.0003585,0.00109813,0.00025771,-0.00030667,0.00034728,15:33:23..666
15:33:23..707,35.66776653,0.377808,-0.00104556,0.00052935,0.00058287,0.00035864,0.00109852,0.00025784,-0.00030676,0.00034659,15:33:23..711
15:33:23..843,35.5798512,0.377808,-0.00104556,0.00052961,0.00058316,0.00035805,0.00109805,0.00025776,-0.00030662,0.00034663,15:33:23..841
15:33:23..876,35.83325421,0.377283,-0.00104536,0.00053018,0.00058308,0.00035857,0.00109829,0.00025791,-0.00030631,0.00034673,15:33:23..884
15:33:23..997,35.60570865,0.377283,-0.00104545,0.00052984,0.00058337,0.00035829,0.00109808,0.00025756,-0.00030678,0.00034632,15:33:23..995
15:33:24..028,35.63673759,0.377283,-0.00104522,0.00052979,0.00058321,0.00035833,0.00109877,0.00025809,-0.0003063,0.00034722,15:33:23..995
15:33:24..061,35.65742355,0.377288,-0.00104535,0.00052989,0.00058375,0.00035781,0.00109795,0.00025829,-0.00030702,0.00034679,15:33:24..113
15:33:24..157,35.66259504,0.377326,-0.00104573,0.00052964,0.00058315,0.00035799,0.00109763,0.00025815,-0.00030663,0.00034717,15:33:24..156
15:33:24..188,35.69879547,0.377326,-0.00104551,0.0005297,0.0005829,0.00035805,0.00109765,0.0002586,-0.00030658,0.00034681,15:33:24..156
15:33:24..223,35.62122312,0.377559,-0.0010454,0.00052983,0.00058302,0.00035767,0.0010979,0.00025842,-0.00030656,0.00034724,15:33:24..261
15:33:24..310,35.63673759,0.377559,-0.00104571,0.00052943,0.00058289,0.00035764,0.00109711,0.00025819,-0.00030674,0.00034648,15:33:24..307
15:33:24..342,35.71948143,0.377649,-0.00104553,0.0005299,0.00058358,0.00035863,0.00109792,0.00025795,-0.00030636,0.00034677,15:33:24..351
15:33:24..468,35.66776653,0.377649,-0.00104527,0.00052966,0.00058333,0.00035839,0.00109749,0.00025807,-0.00030608,0.00034681,15:33:24..466
15:33:24..500,35.60570865,0.377934,-0.00104581,0.00052999,0.00058286,0.00035755,0.00109723,0.00025777,-0.00030677,0.00034674,15:33:24..511
15:33:24..615,35.59536567,0.377934,-0.00104579,0.00052949,0.00058298,0.00035818,0.00109768,0.00025795,-0.00030642,0.00034651,15:33:24..614
15:33:24..647,35.66259504,0.378146,-0.00104545,0.00053003,0.00058321,0.00035838,0.00109818,0.0002579,-0.00030671,0.00034714,15:33:24..657
15:33:24..745,35.54882226,0.378146,-0.00104538,0.00052957,0.00058286,0.0003584,0.00109771,0.00025779,-0.00030644,0.00034738,15:33:24..790
15:33:24..816,35.76602484,0.378146,-0.00104554,0.00053004,0.00058316,0.000358,0.00109796,0.00025791,-0.00030677,0.00034729,15:33:24..790
15:33:24..851,35.61088014,0.378015,-0.00104506,0.00052961,0.00058318,0.00035806,0.00109768,0.00025795,-0.00030626,0.00034654,15:33:24..880
15:33:24..965,35.56433673,0.378015,-0.00104526,0.00052949,0.00058337,0.00035792,0.00109801,0.00025791,-0.00030649,0.00034665,15:33:24..965
15:33:24..998,35.6315661,0.378125,-0.00104519,0.00053002,0.00058318,0.00035908,0.00109757,0.00025831,-0.00030657,0.0003472,15:33:25..010
15:33:25..070,35.60570865,0.378125,-0.00104497,0.00052991,0.00058329,0.00035833,0.00109773,0.00025781,-0.00030641,0.00034673,15:33:25..108
15:33:25..115,35.7349959,0.378125,-0.00104532,0.00053006,0.00058353,0.00035889,0.00109782,0.00025817,-0.00030668,0.00034704,15:33:25..108
15:33:25..149,35.56433673,0.378105,-0.00104553,0.00052988,0.00058307,0.00035862,0.00109769,0.00025829,-0.00030654,0.00034698,15:33:25..155
15:33:25..262,35.69362398,0.378105,-0.00104522,0.00052969,0.0005831,0.00035878,0.00109747,0.00025755,-0.00030674,0.00034694,15:33:25..260
15:33:25..293,35.66776653,0.377978,-0.0010452,0.00052977,0.00058366,0.00035864,0.00109731,0.00025767,-0.0003061,0.00034691,15:33:25..302
15:33:25..356,35.76085335,0.377752,-0.0010455,0.00052969,0.00058316,0.00035832,0.00109717,0.00025774,-0.00030723,0.00034672,15:33:25..404
15:33:25..419,35.72982441,0.377752,-0.00104474,0.00052998,0.0005836,0.00035848,0.0010978,0.00025796,-0.00030644,0.00034704,15:33:25..404
15:33:25..452,35.53847928,0.377607,-0.00104527,0.00052999,0.00058319,0.0003585,0.00109779,0.00025796,-0.00030657,0.00034674,15:33:25..488
15:33:25..600,35.63673759,0.377607,-0.00104492,0.00052964,0.00058291,0.0003585,0.00109762,0.00025823,-0.00030627,0.00034726,15:33:25..598
15:33:25..631,35.71430994,0.377607,-0.00104491,0.00052964,0.00058341,0.00035835,0.00109787,0.0002581,-0.00030682,0.00034647,15:33:25..598
15:33:25..666,35.7349959,0.377427,-0.00104498,0.00052964,0.00058315,0.00035848,0.00109735,0.00025822,-0.00030651,0.00034684,15:33:25..729
15:33:25..779,35.50745034,0.377427,-0.00104526,0.00052943,0.00058324,0.000359,0.00109782,0.00025766,-0.00030693,0.00034708,15:33:25..778
15:33:25..811,35.55399375,0.377497,-0.00104542,0.00052948,0.00058331,0.00035846,0.00109712,0.00025763,-0.00030684,0.00034614,15:33:25..821
15:33:25..914,35.49193587,0.377497,-0.0010459,0.00052972,0.00058279,0.00035855,0.00109666,0.00025801,-0.00030697,0.0003465,15:33:25..912
15:33:25..946,35.66259504,0.377449,-0.00104522,0.0005298,0.00058385,0.0003583,0.00109658,0.00025768,-0.00030672,0.00034641,15:33:25..957
15:33:26..078,35.61088014,0.377449,-0.0010457,0.00052965,0.00058332,0.0003589,0.00109657,0.00025792,-0.00030683,0.00034689,15:33:26..076
15:33:26..109,35.50745034,0.377449,-0.00104567,0.00052925,0.00058301,0.00035818,0.0010964,0.00025759,-0.0003067,0.00034665,15:33:26..076
15:33:26..142,35.48676438,0.377872,-0.00104492,0.00053029,0.00058354,0.00035849,0.00109641,0.00025809,-0.00030649,0.00034653,15:33:26..214
15:33:26..268,35.57467971,0.377872,-0.00104545,0.0005299,0.00058289,0.00035873,0.00109692,0.00025781,-0.00030696,0.00034659,15:33:26..268
15:33:26..299,35.49710736,0.378248,-0.00104437,0.0005298,0.00058295,0.00035849,0.00109676,0.00025781,-0.00030674,0.00034629,15:33:26..302
15:33:26..371,35.57467971,0.378455,-0.00104558,0.00052952,0.00058276,0.0003586,0.00109661,0.0002577,-0.00030654,0.00034667,15:33:26..412
15:33:26..453,35.55916524,0.378602,-0.00104538,0.00052949,0.00058341,0.00035809,0.00109638,0.00025738,-0.00030694,0.0003461,15:33:26..456
15:33:26..486,35.51779332,0.378602,-0.00104526,0.00052966,0.00058359,0.00035888,0.00109644,0.00025783,-0.00030671,0.00034677,15:33:26..456
15:33:26..520,35.61605163,0.378739,-0.0010448,0.00052961,0.00058357,0.00035875,0.00109614,0.00025839,-0.00030651,0.00034669,15:33:26..556
15:33:26..605,35.64190908,0.378739,-0.00104537,0.00052984,0.00058322,0.00035875,0.00109576,0.00025749,-0.00030651,0.0003461,15:33:26..615
15:33:26..637,35.48676438,0.378739,-0.00104517,0.00053009,0.00058317,0.00035841,0.00109624,0.00025767,-0.00030686,0.00034638,15:33:26..615
15:33:26..672,35.49710736,0.378714,-0.00104462,0.00053,0.00058395,0.0003585,0.00109567,0.00025779,-0.00030693,0.00034583,15:33:26..720
15:33:26..769,35.58502269,0.378714,-0.0010453,0.00052932,0.0005831,0.00035879,0.00109578,0.00025743,-0.00030676,0.00034641,15:33:26..720
15:33:26..802,35.53330779,0.378678,-0.00104552,0.0005296,0.00058296,0.00035841,0.00109633,0.00025784,-0.00030701,0.00034669,15:33:26..815
15:33:26..875,35.56433673,0.378702,-0.00104529,0.0005294,0.00058306,0.000358,0.00109596,0.00025725,-0.00030706,0.00034658,15:33:26..915
15:33:26..921,35.59536567,0.378702,-0.00104519,0.00052999,0.00058276,0.00035865,0.00109533,0.000258,-0.00030707,0.00034666,15:33:26..915
15:33:26..955,35.56433673,0.378872,-0.00104572,0.00052999,0.00058345,0.00035877,0.00109617,0.0002572,-0.00030723,0.00034629,15:33:26..995
15:33:27..074,35.53330779,0.378872,-0.00104527,0.00052944,0.00058381,0.00035936,0.00109631,0.00025719,-0.0003072,0.0003461,15:33:27..072
15:33:27..107,35.56950822,0.379065,-0.00104503,0.00053012,0.00058348,0.00035893,0.00109639,0.00025761,-0.00030681,0.0003458,15:33:27..117
15:33:27..210,35.61088014,0.379065,-0.00104524,0.00053006,0.000583,0.00035915,0.00109625,0.00025736,-0.00030704,0.00034609,15:33:27..208
15:33:27..241,35.4247065,0.379065,-0.0010452,0.00052954,0.00058326,0.00035885,0.00109583,0.0002572,-0.00030695,0.00034642,15:33:27..208
15:33:27..274,35.49193587,0.379579,-0.00104537,0.0005297,0.00058319,0.0003592,0.00109606,0.00025788,-0.00030666,0.00034692,15:33:27..337
15:33:27..389,35.52296481,0.379579,-0.00104503,0.00052974,0.00058342,0.00035891,0.00109618,0.0002578,-0.00030684,0.00034695,15:33:27..388
15:33:27..421,35.45056395,0.379709,-0.00104518,0.00052956,0.00058331,0.00035866,0.00109531,0.00025768,-0.00030662,0.00034579,15:33:27..431
15:33:27..569,35.57467971,0.379709,-0.0010454,0.00052998,0.00058312,0.00035857,0.00109473,0.00025774,-0.00030681,0.00034606,15:33:27..567
15:33:27..601,35.6315661,0.379709,-0.0010452,0.0005297,0.00058352,0.00035838,0.00109478,0.00025711,-0.00030682,0.00034673,15:33:27..567
15:33:27..635,35.61605163,0.380043,-0.00104521,0.00053002,0.00058363,0.00035865,0.00109641,0.00025733,-0.00030679,0.00034637,15:33:27..666
15:33:27..714,35.54365077,0.380043,-0.00104557,0.00052941,0.00058298,0.00035906,0.00109567,0.00025743,-0.00030746,0.00034603,15:33:27..712
15:33:27..748,35.54882226,0.38023,-0.00104495,0.00052969,0.00058374,0.00035911,0.00109633,0.00025732,-0.0003067,0.00034687,15:33:27..753
15:33:27..855,35.51779332,0.38023,-0.00104538,0.00053027,0.00058338,0.00035873,0.00109603,0.00025813,-0.00030687,0.00034698,15:33:27..855
15:33:27..890,35.49710736,0.380554,-0.00104437,0.00052991,0.00058375,0.00035906,0.001096,0.00025741,-0.00030705,0.00034665,15:33:27..897
15:33:27..991,35.51779332,0.380554,-0.00104523,0.00052997,0.00058337,0.00035911,0.00109543,0.00025791,-0.00030695,0.00034648,15:33:27..990
15:33:28..023,35.40402054,0.380743,-0.00104465,0.00052982,0.00058323,0.0003592,0.00109565,0.00025761,-0.00030689,0.00034638,15:33:28..033
15:33:28..104,35.59536567,0.380743,-0.00104522,0.00052963,0.00058324,0.00035891,0.00109603,0.00025748,-0.00030706,0.00034633,15:33:28..103
15:33:28..137,35.40402054,0.380956,-0.0010446,0.00052975,0.00058327,0.00035893,0.00109608,0.00025796,-0.00030701,0.00034685,15:33:28..145
15:33:28..192,35.44539246,0.38111,-0.00104508,0.00052984,0.0005834,0.00035924,0.00109566,0.00025741,-0.00030656,0.00034659,15:33:28..192
15:33:28..239,35.61088014,0.38111,-0.00104519,0.00052942,0.00058329,0.00035926,0.00109535,0.00025783,-0.00030651,0.00034711,15:33:28..192
15:33:28..271,35.49710736,0.381126,-0.00104483,0.00053002,0.00058377,0.00035872,0.00109553,0.0002576,-0.00030679,0.00034639,15:33:28..290
15:33:28..391,35.56433673,0.381126,-0.00104476,0.00052976,0.0005836,0.0003593,0.00109506,0.00025753,-0.0003072,0.00034645,15:33:28..389
15:33:28..423,35.41953501,0.380993,-0.0010452,0.00053012,0.00058331,0.00035836,0.00109449,0.00025721,-0.00030688,0.00034599,15:33:28..433
15:33:28..482,35.59019418,0.380904,-0.00104549,0.00052989,0.00058337,0.00035862,0.00109529,0.00025742,-0.00030709,0.00034654,15:33:28..524
15:33:28..529,35.45573544,0.380904,-0.00104512,0.00052925,0.00058344,0.00035858,0.00109482,0.00025736,-0.0003069,0.00034613,15:33:28..524
15:33:28..563,35.51262183,0.380715,-0.00104499,0.00052963,0.00058349,0.00035871,0.00109566,0.0002572,-0.00030717,0.00034659,15:33:28..566
15:33:28..657,35.54365077,0.380715,-0.00104533,0.00052946,0.0005834,0.00035903,0.00109518,0.00025752,-0.00030705,0.00034678,15:33:28..655
15:33:28..689,35.40402054,0.380473,-0.00104527,0.00052922,0.00058297,0.00035962,0.00109508,0.00025735,-0.00030746,0.0003456,15:33:28..699
15:33:28..802,35.40402054,0.380473,-0.00104465,0.00052993,0.00058358,0.00035919,0.00109507,0.00025706,-0.00030674,0.00034593,15:33:28..800
15:33:28..834,35.54365077,0.380276,-0.00104518,0.0005294,0.00058332,0.0003591,0.00109591,0.00025725,-0.00030765,0.00034593,15:33:28..844
15:33:28..955,35.42987799,0.380276,-0.00104511,0.00052945,0.0005833,0.00035982,0.00109567,0.00025745,-0.00030737,0.00034701,15:33:28..953
15:33:28..987,35.48676438,0.38017,-0.00104475,0.00052974,0.00058358,0.00035898,0.00109482,0.00025735,-0.00030727,0.00034599,15:33:28..987
15:33:29..021,35.49193587,0.380132,-0.00104503,0.00052969,0.00058353,0.00035891,0.00109499,0.00025756,-0.00030736,0.00034596,15:33:29..031
15:33:29..119,35.59536567,0.380132,-0.00104549,0.00052966,0.00058338,0.00035943,0.00109511,0.00025752,-0.00030643,0.00034656,15:33:29..118
15:33:29..150,35.55399375,0.379879,-0.00104481,0.00052973,0.00058349,0.00035922,0.00109556,0.00025829,-0.00030679,0.00034679,15:33:29..164
15:33:29..273,35.66259504,0.379879,-0.00104515,0.00052957,0.00058387,0.00035872,0.00109548,0.00025761,-0.00030663,0.0003469,15:33:29..271
15:33:29..304,35.51262183,0.379553,-0.00104506,0.00052995,0.00058349,0.00035924,0.00109553,0.00025767,-0.0003066,0.00034686,15:33:29..316
15:33:29..426,35.49193587,0.379553,-0.00104472,0.00052991,0.00058326,0.00035891,0.0010954,0.00025774,-0.00030696,0.00034601,15:33:29..424
15:33:29..459,35.49710736,0.379313,-0.00104477,0.00053002,0.0005833,0.0003595,0.00109514,0.0002577,-0.00030703,0.00034578,15:33:29..469
15:33:29..574,35.5281363,0.379313,-0.00104507,0.00052976,0.00058369,0.00035985,0.0010954,0.00025749,-0.00030725,0.00034578,15:33:29..572
15:33:29..606,35.36782011,0.379313,-0.00104484,0.00052989,0.00058366,0.00035956,0.0010958,0.00025785,-0.00030691,0.00034551,15:33:29..572
15:33:29..639,35.5798512,0.37905,-0.00104503,0.00052984,0.00058359,0.00035921,0.00109577,0.00025776,-0.00030696,0.00034646,15:33:29..701
15:33:29..752,35.52296481,0.37905,-0.00104485,0.00053004,0.00058378,0.00035949,0.00109501,0.00025775,-0.00030681,0.00034581,15:33:29..762
15:33:29..795,35.41436352,0.37905,-0.00104479,0.00053026,0.00058338,0.00035948,0.00109532,0.000258,-0.00030688,0.00034662,15:33:29..762
15:33:29..829,35.38333458,0.378969,-0.00104475,0.00052983,0.00058356,0.00035913,0.00109443,0.00025744,-0.00030711,0.00034556,15:33:29..805
15:33:29..862,35.31093372,0.378649,-0.00104472,0.00052993,0.00058332,0.00035925,0.0010951,0.00025754,-0.00030674,0.00034569,15:33:29..936
15:33:29..987,35.44539246,0.378649,-0.00104547,0.00052987,0.00058348,0.00035961,0.00109435,0.00025696,-0.00030713,0.00034544,15:33:30..024
15:33:30..044,35.39884905,0.378649,-0.00104492,0.00052991,0.00058353,0.00035957,0.00109502,0.0002575,-0.00030679,0.00034608,15:33:30..024
15:33:30..078,35.4764214,0.378522,-0.00104498,0.00052969,0.00058341,0.00035945,0.00109486,0.00025794,-0.00030703,0.00034588,15:33:30..111
15:33:30..156,35.55916524,0.378447,-0.00104489,0.00052938,0.00058346,0.00035917,0.00109376,0.00025755,-0.00030715,0.00034615,15:33:30..194
15:33:30..227,35.40919203,0.378447,-0.00104514,0.00053028,0.00058324,0.00035926,0.00109411,0.0002576,-0.00030712,0.0003462,15:33:30..194
15:33:30..259,35.53847928,0.378524,-0.00104488,0.00053013,0.00058347,0.00035932,0.00109425,0.00025769,-0.00030714,0.00034616,15:33:30..281
15:33:30..329,35.3729916,0.378524,-0.00104528,0.00053008,0.0005837,0.00035966,0.00109454,0.00025749,-0.00030696,0.00034633,15:33:30..386
15:33:30..401,35.29024776,0.378524,-0.00104472,0.0005298,0.00058327,0.00035964,0.00109492,0.00025757,-0.00030689,0.00034603,15:33:30..386
15:33:30..434,35.50745034,0.378641,-0.00104496,0.00053012,0.00058384,0.00035961,0.00109519,0.00025746,-0.00030695,0.00034608,15:33:30..473
15:33:30..597,35.45056395,0.378641,-0.00104503,0.00053025,0.00058325,0.00035982,0.001095,0.00025785,-0.00030701,0.00034589,15:33:30..594
15:33:30..628,35.51262183,0.378641,-0.00104459,0.00052975,0.0005839,0.00035988,0.00109512,0.00025746,-0.00030696,0.00034596,15:33:30..594
15:33:30..662,35.58502269,0.378707,-0.00104534,0.0005298,0.0005834,0.00035981,0.0010943,0.00025713,-0.00030672,0.00034623,15:33:30..732
15:33:30..785,35.53847928,0.378707,-0.00104516,0.0005297,0.00058357,0.00035997,0.00109474,0.0002573,-0.00030662,0.00034614,15:33:30..785
15:33:30..817,35.36782011,0.37876,-0.00104473,0.00052952,0.00058382,0.00035989,0.00109467,0.00025769,-0.00030697,0.00034577,15:33:30..828
15:33:30..869,35.50745034,0.378746,-0.00104519,0.00052956,0.00058337,0.00035996,0.00109475,0.00025805,-0.00030731,0.00034584,15:33:30..872
15:33:30..923,35.49193587,0.378746,-0.00104483,0.00052996,0.00058366,0.00035962,0.00109523,0.0002579,-0.00030698,0.00034556,15:33:30..872
15:33:30..957,35.45056395,0.378698,-0.00104483,0.00052972,0.00058283,0.00035962,0.00109445,0.00025789,-0.00030683,0.00034614,15:33:30..963
15:33:31..093,35.52296481,0.378698,-0.00104489,0.00052997,0.00058318,0.00035972,0.00109464,0.00025772,-0.00030677,0.00034605,15:33:31..091
15:33:31..124,35.44539246,0.378698,-0.00104519,0.00052991,0.00058371,0.00035975,0.00109476,0.00025776,-0.00030731,0.0003453,15:33:31..091
15:33:31..159,35.44539246,0.378525,-0.00104496,0.00053016,0.00058317,0.00035955,0.00109443,0.00025733,-0.00030705,0.00034603,15:33:31..210
15:33:31..275,35.43504948,0.378525,-0.00104504,0.00052985,0.00058312,0.00035935,0.00109423,0.00025776,-0.00030717,0.00034598,15:33:31..210
15:33:31..306,35.44022097,0.378453,-0.00104555,0.0005299,0.00058286,0.00035937,0.00109375,0.00025727,-0.00030696,0.00034564,15:33:31..317
15:33:31..428,35.29541925,0.378453,-0.00104529,0.00053001,0.00058331,0.00036006,0.00109509,0.00025706,-0.00030696,0.00034574,15:33:31..426
15:33:31..460,35.46607842,0.378433,-0.00104504,0.00052985,0.0005834,0.00036,0.00109519,0.00025752,-0.00030684,0.00034597,15:33:31..468
15:33:31..576,35.39884905,0.378433,-0.00104465,0.00053056,0.00058338,0.00035973,0.00109497,0.00025778,-0.0003068,0.00034602,15:33:31..574
15:33:31..608,35.50227885,0.378511,-0.00104485,0.00053013,0.00058327,0.00036038,0.00109488,0.00025768,-0.00030701,0.0003454,15:33:31..616
15:33:31..726,35.39884905,0.378511,-0.00104501,0.00052947,0.00058386,0.00035987,0.0010954,0.0002572,-0.0003072,0.00034529,15:33:31..724
15:33:31..758,35.46090693,0.378617,-0.00104474,0.00053025,0.00058374,0.00036005,0.00109455,0.0002578,-0.00030643,0.00034589,15:33:31..767
15:33:31..865,35.38333458,0.378617,-0.00104467,0.00053018,0.00058365,0.00035983,0.00109421,0.00025777,-0.00030685,0.00034577,15:33:31..863
15:33:31..898,35.34196266,0.378703,-0.00104539,0.0005299,0.0005834,0.00036002,0.00109438,0.00025759,-0.00030693,0.00034575,15:33:31..906
15:33:31..955,35.30576223,0.378732,-0.00104468,0.00052979,0.0005838,0.00035978,0.00109432,0.00025761,-0.00030656,0.00034592,15:33:31..998
15:33:32..033,35.53330779,0.378732,-0.0010451,0.00052986,0.00058336,0.00036011,0.00109472,0.0002578,-0.00030699,0.00034633,15:33:31..998
15:33:32..066,35.38850607,0.378838,-0.00104522,0.00053011,0.00058341,0.00035992,0.00109394,0.00025742,-0.00030686,0.00034628,15:33:32..041
15:33:32..100,35.35747713,0.379179,-0.00104526,0.00053002,0.00058365,0.0003598,0.00109403,0.0002579,-0.0003066,0.0003458,15:33:32..182
15:33:32..233,35.27473329,0.379179,-0.00104547,0.00052989,0.00058354,0.00036,0.00109415,0.00025799,-0.0003063,0.00034559,15:33:32..232
15:33:32..266,35.37816309,0.379208,-0.00104465,0.00053023,0.00058348,0.00035988,0.00109422,0.00025724,-0.00030678,0.00034521,15:33:32..275
15:33:32..356,35.38333458,0.379208,-0.00104534,0.00052959,0.00058318,0.00036017,0.00109428,0.00025721,-0.00030658,0.00034485,15:33:32..354
15:33:32..388,35.40919203,0.379204,-0.00104499,0.0005301,0.00058321,0.00036008,0.00109457,0.00025716,-0.00030657,0.00034574,15:33:32..397
15:33:32..458,35.47124991,0.379197,-0.00104513,0.00052974,0.00058359,0.00035989,0.00109431,0.00025705,-0.00030653,0.00034567,15:33:32..502
15:33:32..516,35.41953501,0.379197,-0.0010454,0.0005302,0.00058325,0.00036048,0.00109387,0.00025771,-0.00030705,0.00034597,15:33:32..502
15:33:32..549,35.50227885,0.379088,-0.00104515,0.00052977,0.0005836,0.0003598,0.0010943,0.00025722,-0.00030708,0.0003459,15:33:32..545
15:33:32..621,35.44539246,0.378947,-0.00104493,0.00052941,0.00058333,0.00035983,0.00109432,0.00025713,-0.00030718,0.00034585,15:33:32..663
15:33:32..673,35.48676438,0.378947,-0.00104488,0.00052991,0.00058399,0.00036031,0.0010944,0.00025735,-0.00030691,0.00034581,15:33:32..663
15:33:32..706,35.45573544,0.378872,-0.00104523,0.0005297,0.00058338,0.00035951,0.00109355,0.00025765,-0.00030714,0.00034533,15:33:32..707
15:33:32..835,35.37816309,0.378872,-0.0010451,0.00052966,0.00058321,0.00035985,0.00109394,0.00025768,-0.00030701,0.0003455,15:33:32..833
15:33:32..868,35.31093372,0.378798,-0.00104469,0.00052978,0.00058329,0.00035993,0.00109402,0.0002572,-0.00030698,0.00034605,15:33:32..877
15:33:32..980,35.3729916,0.378798,-0.00104452,0.00052964,0.00058348,0.00036031,0.00109395,0.00025733,-0.000307,0.0003455,15:33:32..979
15:33:33..015,35.39367756,0.378826,-0.00104483,0.00052986,0.00058343,0.00035984,0.00109427,0.00025731,-0.00030658,0.00034525,15:33:33..022
15:33:33..128,35.33679117,0.378826,-0.00104537,0.00052953,0.00058323,0.00036011,0.00109461,0.00025783,-0.00030717,0.00034593,15:33:33..126
15:33:33..159,35.46090693,0.379081,-0.00104483,0.00052945,0.00058336,0.00036012,0.00109434,0.00025757,-0.00030731,0.00034498,15:33:33..171
15:33:33..274,35.35747713,0.379081,-0.00104462,0.00052982,0.00058382,0.0003602,0.00109383,0.0002572,-0.00030714,0.00034564,15:33:33..272
15:33:33..306,35.41436352,0.379242,-0.00104473,0.00052971,0.0005833,0.00036007,0.00109396,0.00025775,-0.00030679,0.00034553,15:33:33..315
15:33:33..423,35.38333458,0.379242,-0.00104489,0.00052972,0.0005834,0.00035974,0.00109396,0.00025765,-0.00030672,0.0003454,15:33:33..421
15:33:33..455,35.3212767,0.379107,-0.00104469,0.00052983,0.0005831,0.00035987,0.00109354,0.00025786,-0.00030698,0.00034565,15:33:33..464
15:33:33..577,35.3729916,0.379107,-0.00104467,0.0005297,0.00058357,0.00036003,0.00109387,0.00025754,-0.0003071,0.00034512,15:33:33..574
15:33:33..609,35.34196266,0.379004,-0.00104486,0.00052998,0.00058353,0.00036019,0.00109404,0.00025771,-0.000307,0.0003454,15:33:33..619
15:33:33..720,35.3729916,0.379004,-0.00104497,0.00052999,0.00058334,0.00036025,0.00109396,0.0002578,-0.00030688,0.0003452,15:33:33..718
15:33:33..751,35.3212767,0.378917,-0.00104462,0.00052977,0.00058369,0.00036029,0.00109333,0.00025726,-0.00030683,0.00034558,15:33:33..761
15:33:33..860,35.15578902,0.378917,-0.00104502,0.00053034,0.0005836,0.00036058,0.00109338,0.00025721,-0.0003072,0.00034498,15:33:33..857
15:33:33..891,35.41953501,0.378833,-0.00104506,0.00052989,0.00058375,0.00035998,0.00109289,0.00025725,-0.00030677,0.00034571,15:33:33..900
15:33:33..962,35.30059074,0.378745,-0.00104493,0.0005299,0.0005833,0.00035995,0.00109275,0.00025771,-0.00030738,0.00034589,15:33:34..004
15:33:34..049,35.38850607,0.378745,-0.00104479,0.00052998,0.00058427,0.0003603,0.00109289,0.00025763,-0.00030664,0.00034507,15:33:34..049
15:33:34..083,35.35230564,0.378585,-0.00104509,0.00053011,0.00058374,0.00036001,0.00109288,0.00025785,-0.00030684,0.00034554,15:33:34..049
15:33:34..146,35.29024776,0.378585,-0.00104498,0.00052989,0.0005835,0.00035984,0.00109297,0.0002579,-0.00030668,0.00034524,15:33:34..188
15:33:34..202,35.25404733,0.378585,-0.00104516,0.00052969,0.00058318,0.00036002,0.00109294,0.00025746,-0.00030709,0.00034571,15:33:34..188
